Year,Totals
2021,0.001082511
2020,0.001247137
2019,0.00083895
2018,0.000715422
2017,0.000566406
2016,0.00072909
2015,0.000762627
2014,0.000945119
2013,0.001160635
2012,0.001269189
2011,0.001253633
2010,0.000907553
2009,0.000695633
2008,0.000335092
2007,0.000168505
2006,0.000263938
2005,0.000726548
2004,0.001408504
2003,0.001836998
2002,0.002018529
2001,0.001781973
2000,0.001457903
1999,0.001756284
1998,0.002116041
1997,0.001662497
1996,0.001323677
1995,0.001339617
1994,0.001083925
1993,0.001128478
1992,0.001093109
1991,0.001122255
1990,0.001022993
1989,0.001220659
1988,0.001371599
1987,0.001769105
1986,0.002324718
1985,0.00292883
1984,0.003073128
