Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,"Violence with
 injury",Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,"Residential
 burglary",Non-residential burglary,Vehicle offences,"Theft from
 the person",Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E12000001,North East,"272,026","104,017",35,"28,732","37,970","37,223",57,"9,898","1,776","71,672","14,148","9,987","4,161","13,426","1,482","2,999","18,628","20,989","38,938","6,084","2,213","30,707","6,721"
E23000013,Cleveland,"76,834","28,851",7,"6,799","10,665","11,365",15,"2,611",797,"21,102","4,500","3,319","1,181","3,829",473,813,"6,133","5,354","10,376","2,045",679,"8,462","1,911"
E23000008,Durham,"59,115","23,993",5,"5,624","8,780","9,563",21,"2,257",175,"14,074","3,104","2,130",974,"2,478",254,399,"3,985","3,854","9,450","1,382",392,"5,832","1,560"
E23000007,Northumbria [note 4],"136,077","51,173",23,"16,309","18,525","16,295",21,"5,030",804,"36,496","6,544","4,538","2,006","7,119",755,"1,787","8,510","11,781","19,112","2,657","1,142","16,413","3,250"
E12000002,North West,"800,254","326,338",97,"80,772","128,276","117,035",158,"27,257","8,428","200,501","43,914","32,339","11,575","44,640","10,578","7,582","36,897","56,890","79,979","24,937","7,711","107,175","17,928"
E23000006,Cheshire,"89,101","41,396",4,"10,442","13,835","17,105",10,"3,673",412,"17,640","3,311","2,480",831,"2,857",358,994,"4,195","5,925","7,999","1,774",389,"14,159","1,659"
E23000002,Cumbria,"38,685","17,437",3,"5,016","6,383","6,026",9,"1,800",154,"7,446","1,623","1,008",615,850,102,212,"1,918","2,741","5,206",951,285,"4,689",717
E23000005,Greater Manchester,"361,018","136,091",50,"31,552","54,911","49,482",96,"11,613","5,449","102,392","23,964","18,528","5,436","25,994","6,456","3,404","15,397","27,177","33,517","7,560","4,302","51,300","8,794"
E23000003,Lancashire,"140,088","60,620",19,"17,729","22,789","20,066",17,"5,259","1,061","37,863","8,212","5,308","2,904","7,533","1,014","1,149","8,213","11,742","17,084","2,574","1,416","10,889","3,322"
E23000004,Merseyside,"171,362","70,794",21,"16,033","30,358","24,356",26,"4,912","1,352","35,160","6,804","5,015","1,789","7,406","2,648","1,823","7,174","9,305","16,173","12,078","1,319","26,138","3,436"
E12000003,Yorkshire and The Humber,"600,161","243,893",66,"64,250","87,947","91,525",105,"19,198","5,594","154,784","32,358","23,513","8,845","33,443","4,977","5,995","35,103","42,908","64,609","15,442","4,945","76,375","15,321"
E23000012,Humberside,"93,595","36,685",6,"11,230","13,184","12,253",12,"3,163",745,"24,703","5,315","4,028","1,287","3,625",438,"1,916","6,840","6,569","11,673","1,742",492,"11,712","2,680"
E23000009,North Yorkshire,"47,758","20,576",10,"7,395","7,709","5,455",7,"2,110",263,"12,043","2,104","1,369",735,"1,625",285,"1,032","3,270","3,727","5,735","1,470",315,"4,508",738
E23000011,South Yorkshire,"154,212","56,983",21,"16,087","20,879","19,978",18,"4,509","1,815","45,498","11,313","8,449","2,864","12,056","1,159","1,062","8,594","11,314","17,994","3,931","1,713","16,869","4,900"
E23000010,West Yorkshire,"304,596","129,649",29,"29,538","46,175","53,839",68,"9,416","2,771","72,540","13,626","9,667","3,959","16,137","3,095","1,985","16,399","21,298","29,207","8,299","2,425","43,286","7,003"
E12000004,East Midlands,"405,054","162,165",56,"47,752","59,224","55,076",57,"16,576","3,467","109,520","19,474","13,437","6,037","23,178","2,902","5,344","25,755","32,867","43,745","12,643","4,571","42,106","10,261"
E23000018,Derbyshire,"85,386","36,346",14,"9,053","14,360","12,910",9,"3,507",614,"20,289","3,803","2,633","1,170","4,502",691,687,"4,255","6,351","9,023","2,230",997,"10,332","2,048"
E23000021,Leicestershire,"102,628","40,044",12,"13,266","12,247","14,501",18,"4,075",765,"26,404","4,630","3,249","1,381","6,263",787,"1,930","3,932","8,862","11,003","3,233","1,003","13,725","2,376"
E23000020,Lincolnshire [note 5],"55,750","23,085",13,"6,522","9,008","7,529",13,"2,517",370,"15,240","3,222","2,140","1,082","2,448",141,820,"4,306","4,303","6,334","1,322",531,"5,021","1,330"
E23000022,Northamptonshire,"62,589","27,569",7,"7,573","11,005","8,977",7,"2,979",758,"15,875","2,929","2,003",926,"3,918",343,515,"3,096","5,074","6,181","2,057",850,"4,770","1,550"
E23000019,Nottinghamshire [note 6],"98,701","35,121",10,"11,338","12,604","11,159",10,"3,498",960,"31,712","4,890","3,412","1,478","6,047",940,"1,392","10,166","8,277","11,204","3,801","1,190","8,258","2,957"
E12000005,West Midlands region,"580,319","253,566",80,"66,879","94,280","92,260",67,"20,436","10,057","160,048","31,744","23,134","8,610","47,913","5,261","4,400","29,208","41,522","51,397","11,810","8,797","53,885","10,323"
E23000015,Staffordshire,"79,190","36,102",12,"10,092","11,359","14,637",2,"3,448",857,"21,453","3,852","2,635","1,217","4,627",486,856,"4,930","6,702","8,567","1,134",558,"5,854","1,217"
E23000017,Warwickshire,"41,002","16,387",7,"4,649","6,586","5,135",10,"1,624",381,"12,530","2,101","1,463",638,"3,899",225,413,"2,193","3,699","4,013",945,529,"3,647",946
E23000016,West Mercia,"91,276","39,549",21,"11,456","14,068","13,976",28,"4,083",594,"24,675","4,858","3,440","1,418","4,824",468,621,"6,469","7,435","8,899","2,048",905,"8,900","1,623"
E23000014,West Midlands,"368,851","161,528",40,"40,682","62,267","58,512",27,"11,281","8,225","101,390","20,933","15,596","5,337","34,563","4,082","2,510","15,616","23,686","29,918","7,683","6,805","35,484","6,537"
E12000006,East ,"486,198","199,705",73,"50,203","84,988","64,334",107,"19,672","3,889","133,415","20,710","14,092","6,618","32,560","4,506","7,459","28,791","39,389","47,665","15,459","4,535","50,509","11,349"
E23000026,Bedfordshire,"52,472","19,185",12,"5,032","8,245","5,875",21,"1,781",595,"17,054","2,885","1,884","1,001","5,040",463,654,"3,616","4,396","4,831","1,860",491,"5,525","1,150"
E23000023,Cambridgeshire,"68,876","25,597",4,"5,831","12,191","7,533",38,"2,668",653,"20,823","3,250","1,986","1,264","4,475",769,"2,584","3,777","5,968","7,112","1,907",720,"7,678","1,718"
E23000028,Essex,"168,388","73,417",24,"16,148","29,538","27,692",15,"6,548","1,430","43,062","6,806","5,032","1,774","11,983","1,290","1,576","9,137","12,270","15,454","5,374","1,487","18,117","3,499"
E23000027,Hertfordshire,"75,289","27,706",11,"8,773","12,530","6,372",20,"2,604",588,"27,162","3,610","2,463","1,147","7,180","1,171","1,035","6,107","8,059","7,457","2,533",577,"5,243","1,419"
E23000024,Norfolk,"69,262","31,478",15,"8,485","12,664","10,305",9,"3,292",344,"13,321","2,033","1,313",720,"1,748",400,"1,009","3,335","4,796","7,321","2,170",716,"8,223","2,397"
E23000025,Suffolk,"51,911","22,322",7,"5,934","9,820","6,557",4,"2,779",279,"11,993","2,126","1,414",712,"2,134",413,601,"2,819","3,900","5,490","1,615",544,"5,723","1,166"
E12000007,London,"858,574","243,713",117,"77,477","100,122","65,995",2,"25,498","25,848","384,388","54,634","39,962","14,672","107,593","52,427","20,585","37,152","111,997","54,277","45,628","6,225","61,095","11,902"
E23000034,City of London [note 7],"6,632","1,195",1,433,649,111,1,131,104,"3,585",269,20,249,216,"1,011",223,672,"1,194",287,563,57,509,201
E23000001,Metropolitan Police,"851,942","242,518",116,"77,044","99,473","65,884",1,"25,367","25,744","380,803","54,365","39,942","14,423","107,377","51,416","20,362","36,480","110,803","53,990","45,065","6,168","60,586","11,701"
E12000008,South East,"732,512","299,250",59,"79,488","122,211","97,356",136,"28,926","4,872","194,145","30,081","20,949","9,132","44,993","6,619","11,136","42,882","58,434","75,653","20,961","6,838","86,299","15,568"
E23000030,Hampshire,"175,705","76,362",15,"21,821","28,780","25,720",26,"7,381","1,278","42,412","8,229","5,877","2,352","10,118","1,016","2,607","8,724","11,718","15,868","5,311","2,030","22,381","2,682"
E23000032,Kent,"182,689","82,629",15,"18,425","36,236","27,887",66,"6,868","1,273","44,007","6,859","4,934","1,925","9,577","1,070","1,080","11,718","13,703","21,961","4,149","1,423","14,616","5,763"
E23000031,Surrey,"71,327","26,553",4,"7,140","11,768","7,632",9,"2,622",391,"20,995","3,644","2,808",836,"5,633",616,"1,093","3,457","6,552","7,564","2,229",569,"9,044","1,360"
E23000033,Sussex,"123,613","46,941",4,"14,128","18,558","14,229",22,"5,390",950,"33,750","4,295","2,534","1,761","6,267","1,035","2,130","8,917","11,106","13,660","3,554","1,610","14,951","2,807"
E23000029,Thames Valley,"179,178","66,765",21,"17,974","26,869","21,888",13,"6,665",980,"52,981","7,054","4,796","2,258","13,398","2,882","4,226","10,066","15,355","16,600","5,718","1,206","25,307","2,956"
E12000009,South West,"390,894","162,611",56,"48,423","64,493","49,598",41,"17,392","3,241","97,506","17,754","11,641","6,113","19,879","2,376","5,620","21,743","30,134","45,417","10,524","3,285","43,351","7,567"
E23000036,Avon and Somerset,"142,927","55,207",21,"13,566","23,448","18,170",2,"5,626","1,597","38,574","6,829","4,886","1,943","8,743",934,"2,753","8,441","10,874","14,978","2,922",849,"20,544","2,630"
E23000035,Devon and Cornwall,"103,166","46,643",13,"16,324","17,791","12,490",25,"5,495",606,"20,277","3,423","1,617","1,806","3,360",565,568,"5,108","7,253","13,751","4,211","1,379","8,466","2,338"
E23000039,Dorset,"51,440","20,250",5,"6,265","7,968","6,010",2,"2,437",390,"15,709","2,827","1,910",917,"3,861",348,"1,010","2,889","4,774","6,429","1,115",313,"4,130",667
E23000037,Gloucestershire,"52,001","23,033",13,"6,222","7,891","8,896",11,"2,062",336,"12,475","2,848","1,983",865,"1,930",302,665,"2,655","4,075","5,215","1,188",340,"6,186","1,166"
E23000038,Wiltshire,"41,360","17,478",4,"6,046","7,395","4,032",1,"1,772",312,"10,471","1,827","1,245",582,"1,985",227,624,"2,650","3,158","5,044","1,088",404,"4,025",766
