Area Code,Area Name," Total recorded crime
 (excluding fraud) [note 2]",Violence against the person,Homicide,"Violence with
 injury",Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,"Residential
 burglary",Non-residential burglary,Vehicle offences,"Theft from
 the person",Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E23000013,Cleveland,76834,28851,7,6799,10665,11365,15,2611,797,21102,4500,3319,1181,3829,473,813,6133,5354,10376,2045,679,8462,1911
E23000008,Durham,59115,23993,5,5624,8780,9563,21,2257,175,14074,3104,2130,974,2478,254,399,3985,3854,9450,1382,392,5832,1560
E23000007,Northumbria [note 4],136077,51173,23,16309,18525,16295,21,5030,804,36496,6544,4538,2006,7119,755,1787,8510,11781,19112,2657,1142,16413,3250
E23000006,Cheshire,89101,41396,4,10442,13835,17105,10,3673,412,17640,3311,2480,831,2857,358,994,4195,5925,7999,1774,389,14159,1659
E23000002,Cumbria,38685,17437,3,5016,6383,6026,9,1800,154,7446,1623,1008,615,850,102,212,1918,2741,5206,951,285,4689,717
E23000005,Greater Manchester,361018,136091,50,31552,54911,49482,96,11613,5449,102392,23964,18528,5436,25994,6456,3404,15397,27177,33517,7560,4302,51300,8794
E23000003,Lancashire,140088,60620,19,17729,22789,20066,17,5259,1061,37863,8212,5308,2904,7533,1014,1149,8213,11742,17084,2574,1416,10889,3322
E23000004,Merseyside,171362,70794,21,16033,30358,24356,26,4912,1352,35160,6804,5015,1789,7406,2648,1823,7174,9305,16173,12078,1319,26138,3436
E12000003,Yorkshire and The Humber,600161,243893,66,64250,87947,91525,105,19198,5594,154784,32358,23513,8845,33443,4977,5995,35103,42908,64609,15442,4945,76375,15321
E23000012,Humberside,93595,36685,6,11230,13184,12253,12,3163,745,24703,5315,4028,1287,3625,438,1916,6840,6569,11673,1742,492,11712,2680
E23000009,North Yorkshire,47758,20576,10,7395,7709,5455,7,2110,263,12043,2104,1369,735,1625,285,1032,3270,3727,5735,1470,315,4508,738
E23000011,South Yorkshire,154212,56983,21,16087,20879,19978,18,4509,1815,45498,11313,8449,2864,12056,1159,1062,8594,11314,17994,3931,1713,16869,4900
E23000010,West Yorkshire,304596,129649,29,29538,46175,53839,68,9416,2771,72540,13626,9667,3959,16137,3095,1985,16399,21298,29207,8299,2425,43286,7003
E12000004,East Midlands,405054,162165,56,47752,59224,55076,57,16576,3467,109520,19474,13437,6037,23178,2902,5344,25755,32867,43745,12643,4571,42106,10261
E23000018,Derbyshire,85386,36346,14,9053,14360,12910,9,3507,614,20289,3803,2633,1170,4502,691,687,4255,6351,9023,2230,997,10332,2048
E23000021,Leicestershire,102628,40044,12,13266,12247,14501,18,4075,765,26404,4630,3249,1381,6263,787,1930,3932,8862,11003,3233,1003,13725,2376
E23000020,Lincolnshire [note 5],55750,23085,13,6522,9008,7529,13,2517,370,15240,3222,2140,1082,2448,141,820,4306,4303,6334,1322,531,5021,1330
E23000022,Northamptonshire,62589,27569,7,7573,11005,8977,7,2979,758,15875,2929,2003,926,3918,343,515,3096,5074,6181,2057,850,4770,1550
E23000019,Nottinghamshire [note 6],98701,35121,10,11338,12604,11159,10,3498,960,31712,4890,3412,1478,6047,940,1392,10166,8277,11204,3801,1190,8258,2957
E12000005,West Midlands region,580319,253566,80,66879,94280,92260,67,20436,10057,160048,31744,23134,8610,47913,5261,4400,29208,41522,51397,11810,8797,53885,10323
E23000015,Staffordshire,79190,36102,12,10092,11359,14637,2,3448,857,21453,3852,2635,1217,4627,486,856,4930,6702,8567,1134,558,5854,1217
E23000017,Warwickshire,41002,16387,7,4649,6586,5135,10,1624,381,12530,2101,1463,638,3899,225,413,2193,3699,4013,945,529,3647,946
E23000016,West Mercia,91276,39549,21,11456,14068,13976,28,4083,594,24675,4858,3440,1418,4824,468,621,6469,7435,8899,2048,905,8900,1623
E23000014,West Midlands,368851,161528,40,40682,62267,58512,27,11281,8225,101390,20933,15596,5337,34563,4082,2510,15616,23686,29918,7683,6805,35484,6537
E23000026,Bedfordshire,52472,19185,12,5032,8245,5875,21,1781,595,17054,2885,1884,1001,5040,463,654,3616,4396,4831,1860,491,5525,1150
E23000023,Cambridgeshire,68876,25597,4,5831,12191,7533,38,2668,653,20823,3250,1986,1264,4475,769,2584,3777,5968,7112,1907,720,7678,1718
E23000028,Essex,168388,73417,24,16148,29538,27692,15,6548,1430,43062,6806,5032,1774,11983,1290,1576,9137,12270,15454,5374,1487,18117,3499
E23000027,Hertfordshire,75289,27706,11,8773,12530,6372,20,2604,588,27162,3610,2463,1147,7180,1171,1035,6107,8059,7457,2533,577,5243,1419
E23000024,Norfolk,69262,31478,15,8485,12664,10305,9,3292,344,13321,2033,1313,720,1748,400,1009,3335,4796,7321,2170,716,8223,2397
E23000025,Suffolk,51911,22322,7,5934,9820,6557,4,2779,279,11993,2126,1414,712,2134,413,601,2819,3900,5490,1615,544,5723,1166
E12000007,London,858574,243713,117,77477,100122,65995,2,25498,25848,384388,54634,39962,14672,107593,52427,20585,37152,111997,54277,45628,6225,61095,11902
E23000034,City of London [note 7],6632,1195,1,433,649,111,1,131,104,3585,269,20,249,216,1011,223,672,1194,287,563,57,509,201
E23000001,Metropolitan Police,851942,242518,116,77044,99473,65884,1,25367,25744,380803,54365,39942,14423,107377,51416,20362,36480,110803,53990,45065,6168,60586,11701
E23000030,Hampshire,175705,76362,15,21821,28780,25720,26,7381,1278,42412,8229,5877,2352,10118,1016,2607,8724,11718,15868,5311,2030,22381,2682
E23000032,Kent,182689,82629,15,18425,36236,27887,66,6868,1273,44007,6859,4934,1925,9577,1070,1080,11718,13703,21961,4149,1423,14616,5763
