Crime,Year,Total
Drug Offences,2015,148414
Drug Offences,2016,133627
Drug Offences,2017,123623
Drug Offences,2018,129177
Drug Offences,2019,148038
Drug Offences,2020,182218
Drug Offences,2021,183352
Drug Offences,2022,163488
Shoplifting,2015,310980
Shoplifting,2016,320964
Shoplifting,2017,355408
Shoplifting,2018,359764
Shoplifting,2019,345513
Shoplifting,2020,292782
Shoplifting,2021,234242
Shoplifting,2022,276159
Burglary,2015,389636
Burglary,2016,381364
Burglary,2017,406489
Burglary,2018,415531
Burglary,2019,401297
Burglary,2020,336053
Burglary,2021,254787
Burglary,2022,264817
Theft,2015,1660613
Theft,2016,1661255
Theft,2017,1838426
Theft,2018,1900958
Theft,2019,1900499
Theft,2020,1623641
Theft,2021,1295455
Theft,2022,1505979
Sexual Offences,2015,89775
Sexual Offences,2016,101792
Sexual Offences,2017,121237
Sexual Offences,2018,143769
Sexual Offences,2019,152283
Sexual Offences,2020,142996
Sexual Offences,2021,155727
Sexual Offences,2022,184853
Violence with Injury,2015,366660
Violence with Injury,2016,413369
Violence with Injury,2017,452997
Violence with Injury,2018,493019
Violence with Injury,2019,152283
Violence with Injury,2020,482459
Violence with Injury,2021,467351
Violence with Injury,2022,543976
Violence without Injury,2015,411696
Violence without Injury,2016,558520
Violence without Injury,2017,473555
Violence without Injury,2018,573844
Violence without Injury,2019,647075
Violence without Injury,2020,675647
Violence without Injury,2021,677995
Violence without Injury,2022,779511
Total Crime,2015,3433495
Total Crime,2016,3710046
Total Crime,2017,4240153
Total Crime,2018,4680317
Total Crime,2019,4949875
Total Crime,2020,4724104
Total Crime,2021,4573648
Total Crime,2022,5125992
Stalking and Harrassment,2015,.
Stalking and Harrassment,2016,.
Stalking and Harrassment,2017,227946
Stalking and Harrassment,2018,310549
Stalking and Harrassment,2019,426837
Stalking and Harrassment,2020,483337
Stalking and Harrassment,2021,630491
Stalking and Harrassment,2022,670402
