PCON13NM,"Number of men","Number of women","Number of people",,
Blaydon,"1,025",735,"1,760",,
Blyth Valley,"1,330",890,"2,220",,
City of Durham,830,550,"1,380",,
Darlington,"1,645","1,015","2,660",,
Easington,"1,420",920,"2,335",,
Gateshead,"2,030","1,275","3,300",,
Hartlepool,"1,835","1,165","3,000",,
Hexham,460,365,830,,
Houghton and Sunderland South,"1,360",980,"2,340",,
Jarrow,"1,260",985,"2,250",,
Middlesbrough,"2,765","1,735","4,500",,
Middlesbrough South and East Cleveland,"1,180",790,"1,970",,
Newcastle upon Tyne Central,"2,605","1,760","4,365",,
Newcastle upon Tyne East,"1,765","1,085","2,850",,
Newcastle upon Tyne North,"1,145",865,"2,010",,
North Durham,"1,150",765,"1,915",,
North Tyneside,"1,580","1,060","2,635",,
North West Durham,"1,055",720,"1,775",,
Redcar,"1,485",970,"2,455",,
Sedgefield,"1,040",775,"1,810",,
South Shields,"1,830","1,390","3,220",,
Stockton North,"1,765","1,070","2,835",,
Stockton South,"1,240",805,"2,050",,
Sunderland Central,"2,065","1,140","3,205",,
Tynemouth,"1,035",735,"1,770",,
Wansbeck,"1,210",830,"2,040",,
Washington and Sunderland West,"1,410","1,005","2,415",,
Altrincham and Sale West,680,530,"1,210",,
Ashton-under-Lyne,"1,950","1,385","3,330",,
Barrow and Furness,920,620,"1,540",,
Birkenhead,"1,955","1,160","3,115",,
Blackburn,"2,410","1,685","4,090",,
Blackley and Broughton,"3,365","2,285","5,650",,
Blackpool North and Cleveleys,"1,530",990,"2,520",,
Blackpool South,"2,310","1,250","3,565",,
Bolton North East,"2,360","1,610","3,965",,
Bolton South East,"2,505","1,890","4,395",,
Bolton West,"1,270",910,"2,180",,
Bootle,"2,300","1,305","3,605",,
Burnley,"1,780","1,230","3,010",,
Bury North,"1,480","1,065","2,540",,
Bury South,"1,585","1,080","2,665",,
Carlisle,985,620,"1,605",,
Cheadle,665,460,"1,125",,
Chorley,"1,070",755,"1,825",,
City of Chester,"1,125",730,"1,855",,
Congleton,630,520,"1,150",,
Copeland,695,440,"1,135",,
Crewe and Nantwich,"1,270",940,"2,210",,
Denton and Reddish,"1,325",935,"2,260",,
Eddisbury,660,575,"1,235",,
Ellesmere Port and Neston,"1,000",615,"1,620",,
Fylde,755,570,"1,320",,
Garston and Halewood,"1,600","1,080","2,680",,
Halton,"1,440","1,050","2,490",,
Hazel Grove,810,535,"1,345",,
Heywood and Middleton,"1,990","1,335","3,325",,
Hyndburn,"1,760","1,130","2,885",,
Knowsley,"2,040","1,555","3,595",,
Lancaster and Fleetwood,"1,075",705,"1,780",,
Leigh,"1,655","1,050","2,705",,
"Liverpool, Riverside","2,795","1,595","4,390",,
"Liverpool, Walton","2,740","1,550","4,290",,
"Liverpool, Wavertree","2,575","1,425","3,995",,
"Liverpool, West Derby","2,085","1,375","3,460",,
Macclesfield,775,530,"1,305",,
Makerfield,"1,140",695,"1,840",,
Manchester Central,"3,850","2,400","6,245",,
"Manchester, Gorton","3,630","2,315","5,945",,
"Manchester, Withington","1,630","1,135","2,765",,
Morecambe and Lunesdale,"1,205",780,"1,985",,
Oldham East and Saddleworth,"2,370","1,750","4,120",,
Oldham West and Royton,"2,670","2,030","4,700",,
Pendle,"1,595","1,230","2,830",,
Penrith and The Border,490,430,925,,
Preston,"2,245","1,395","3,640",,
Ribble Valley,680,550,"1,235",,
Rochdale,"2,890","2,005","4,895",,
Rossendale and Darwen,"1,380",920,"2,300",,
Salford and Eccles,"2,580","1,705","4,285",,
Sefton Central,565,405,975,,
South Ribble,710,550,"1,260",,
Southport,"1,130",660,"1,790",,
Stalybridge and Hyde,"1,435","1,075","2,510",,
St Helens North,"1,395",905,"2,305",,
St Helens South and Whiston,"1,765","1,085","2,850",,
Stockport,"1,640","1,045","2,685",,
Stretford and Urmston,"1,655","1,050","2,705",,
Tatton,570,480,"1,050",,
Wallasey,"1,515",940,"2,455",,
Warrington North,"1,055",690,"1,745",,
Warrington South,950,645,"1,595",,
Weaver Vale,975,680,"1,655",,
West Lancashire,"1,130",800,"1,930",,
Westmorland and Lonsdale,380,290,675,,
Wigan,"1,685","1,050","2,735",,
Wirral South,475,370,845,,
Wirral West,460,350,810,,
Workington,710,550,"1,260",,
Worsley and Eccles South,"1,970","1,480","3,450",,
Wyre and Preston North,470,420,895,,
Wythenshawe and Sale East,"2,095","1,455","3,550",,
Barnsley Central,"1,250",855,"2,105",,
Barnsley East,"1,170",830,"2,000",,
Batley and Spen,"1,730","1,225","2,955",,
Beverley and Holderness,695,565,"1,265",,
Bradford East,"3,565","2,720","6,285",,
Bradford South,"2,510","1,915","4,425",,
Bradford West,"4,325","2,825","7,150",,
Brigg and Goole,875,680,"1,560",,
Calder Valley,990,765,"1,760",,
Cleethorpes,820,700,"1,520",,
Colne Valley,"1,305",945,"2,245",,
Dewsbury,"1,550","1,170","2,720",,
Don Valley,"1,180",875,"2,055",,
Doncaster Central,"2,320","1,545","3,865",,
Doncaster North,"1,500","1,105","2,610",,
East Yorkshire,"1,000",725,"1,730",,
Elmet and Rothwell,600,500,"1,100",,
Great Grimsby,"1,640","1,185","2,825",,
Halifax,"1,920","1,330","3,250",,
Haltemprice and Howden,460,385,845,,
Harrogate and Knaresborough,690,500,"1,190",,
Hemsworth,"1,090",820,"1,910",,
Huddersfield,"2,060","1,295","3,355",,
Keighley,"1,400","1,025","2,425",,
Kingston upon Hull East,"1,645","1,265","2,910",,
Kingston upon Hull North,"2,090","1,445","3,535",,
Kingston upon Hull West and Hessle,"2,275","1,370","3,645",,
Leeds Central,"4,145","2,765","6,910",,
Leeds East,"2,595","1,880","4,470",,
Leeds North East,"1,460","1,025","2,490",,
Leeds North West,865,560,"1,420",,
Leeds West,"2,390","1,605","4,000",,
Morley and Outwood,790,610,"1,400",,
"Normanton, Pontefract and Castleford","1,430","1,110","2,540",,
Penistone and Stocksbridge,575,490,"1,065",,
Pudsey,680,520,"1,200",,
Richmond (Yorks),580,460,"1,040",,
Rother Valley,955,725,"1,685",,
Rotherham,"2,135","1,405","3,540",,
Scarborough and Whitby,"1,055",770,"1,825",,
Scunthorpe,"1,465","1,025","2,490",,
Selby and Ainsty,685,625,"1,305",,
Sheffield Central,"2,100","1,240","3,340",,
Sheffield South East,"1,590","1,080","2,670",,
"Sheffield, Brightside and Hillsborough","2,565","1,850","4,420",,
"Sheffield, Hallam",475,350,825,,
"Sheffield, Heeley","1,650","1,225","2,875",,
Shipley,"1,100",780,"1,880",,
Skipton and Ripon,490,435,925,,
Thirsk and Malton,535,480,"1,015",,
