Country Name,"School Enrollment, tertiary (%)",Unemployment (%),Population
Argentina,99.17,11.46,45376763
Austria,87.21,5.36,8916864
Australia,114.19,6.46,25655289
Belgium,80.89,5.55,11538604
Brazil,54.57,13.69,213196304
Bulgaria,75.41,5.12,6934015
China,58.42,5.00,1411100000
Chile,91.67,11.18,19300315
Canada,79.52,9.46,38037204
Croatia,68.10,7.51,4047680
Cyprus,92.94,7.59,1237537
Denmark,82.84,5.64,5831404
Ecuador,52.59,6.11,17588595
Finland,95.05,7.76,5529543
France,69.35,8.01,67571107
Germany,72.99,3.81,83160871
Greece,150.88,16.30,10698599
Ghana,18.69,4.65,32180401
Georgia,66.69,18.50,3722716
Hungary,55.16,4.25,9750149
Iceland,84.27,5.48,366463
India,29.44,8.00,1396387127
Ireland,74.68,5.62,4985382
Italy,69.47,9.16,59438851
Mexico,44.81,4.45,125998302
Malta,71.50,4.26,515332
Morocco,40.62,11.45,36688772
Nepal,14.22,4.72,29348627
Netherlands,92.01,3.82,17441500
New Zealand,79.91,4.59,5090200
Norway,84.44,4.42,5379475
Philippines,33.37,2.52,112190977
Poland,70.48,3.16,37899070
Portugal,70.38,6.79,10297081
Romania,53.23,5.03,19265250
Saudi Arabia,70.63,7.45,35997107
Serbia,68.14,9.01,6899126
Singapore,93.13,4.10,5685807
South Africa,24.24,29.22,58801927
Spain,95.96,15.53,47365655
Sweden,84.52,8.29,10353442
Switzerland,65.33,4.82,8638167
United States,87.57,8.05,331501080
United Kingdom,69.48,4.47,67081000
United Arab Emirates,53.72,3.19,9287289
