,,Year of death registration [note 3],,,,,,,,,,,,,,,,,,,,
"Area code 
","Local Authority District 
",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E08000037,Gateshead,16,23,12,12,13,21,17,14,15,12,11,10,14,11,14,15,17,12,14,13,16
E08000021,Newcastle upon Tyne,32,30,23,35,21,22,21,34,29,25,27,16,19,18,17,30,15,37,37,36,31
E08000022,North Tyneside,25,13,21,26,23,21,25,23,14,28,26,23,26,33,19,17,23,23,22,14,22
E08000023,South Tyneside,11,11,10,11,12,10,8,12,20,7,9,12,7,10,7,8,7,10,7,7,14
E08000024,Sunderland,28,45,30,29,32,21,24,25,24,32,29,36,17,28,21,28,29,33,15,25,27
E07000026,Allerdale,10,10,19,10,7,16,5,8,6,8,11,10,17,9,14,9,11,7,11,13,4
E07000027,Barrow-in-Furness,9,14,10,11,9,8,9,9,6,7,7,2,5,6,2,3,8,10,11,12,6
E07000028,Carlisle,18,15,11,9,13,16,12,11,14,7,12,14,13,6,16,13,17,21,10,11,14
E07000029,Copeland,8,14,11,6,7,11,9,5,9,16,12,5,4,9,11,12,7,6,8,9,8
E07000030,Eden,7,10,2,2,3,6,4,4,7,4,1,8,2,3,6,2,4,10,6,0,2
E07000031,South Lakeland,15,7,9,13,5,13,7,15,13,16,6,8,11,6,10,10,10,10,12,8,8
E08000001,Bolton,23,21,28,23,31,33,24,24,30,23,40,31,32,38,31,24,25,16,26,29,14
E08000002,Bury,28,19,12,20,13,12,14,30,14,23,16,9,21,8,14,13,17,20,21,17,16
E08000003,Manchester,70,38,46,45,30,38,45,48,37,53,66,66,59,54,40,43,61,47,47,48,52
E08000004,Oldham ,28,11,16,16,18,14,16,26,21,24,19,10,23,17,15,18,12,24,17,23,22
E08000005,Rochdale,29,18,13,23,18,18,11,31,20,21,20,20,23,15,16,20,18,20,25,15,21
E08000006,Salford,30,20,34,25,31,14,32,27,22,14,27,23,25,21,17,22,25,22,18,14,14
E08000007,Stockport,21,19,23,26,19,22,27,26,42,28,24,11,39,26,24,17,37,15,20,23,27
E08000008,Tameside,12,13,17,19,19,30,26,23,26,25,14,31,27,24,24,28,23,22,21,16,30
E08000009,Trafford,26,11,19,15,15,11,17,13,18,26,16,20,17,17,10,20,20,17,20,18,26
E08000010,Wigan,34,31,41,45,30,31,35,29,39,26,43,40,40,28,41,37,32,29,27,21,40
E07000117,Burnley,8,13,11,10,9,3,8,7,11,8,5,3,12,10,7,8,7,11,6,9,9
E07000118,Chorley,17,17,20,19,12,16,10,8,8,7,8,10,10,21,14,4,5,10,8,6,13
E07000119,Fylde,8,8,8,4,7,6,10,11,5,9,5,7,3,7,3,5,5,7,6,5,5
E07000120,Hyndburn,9,11,6,7,7,13,7,12,9,12,9,10,8,6,12,5,7,7,6,11,7
E07000121,Lancaster,17,16,23,16,17,15,16,15,13,16,12,14,9,9,12,12,6,11,16,10,21
E07000122,Pendle,10,3,4,12,12,6,8,9,12,11,6,9,11,9,3,5,10,8,10,7,17
E07000123,Preston,25,18,19,21,10,13,16,21,21,22,14,15,24,12,23,8,15,18,6,14,17
E07000124,Ribble Valley,4,8,6,4,4,8,7,3,7,2,2,5,8,6,7,5,3,5,2,7,1
E07000125,Rossendale,6,10,14,10,4,3,11,2,8,7,9,8,14,8,11,6,10,6,3,2,7
E07000126,South Ribble,13,8,9,10,7,11,11,11,10,18,14,11,8,9,7,12,11,12,9,8,11
E07000127,West Lancashire,16,8,12,14,14,11,6,7,12,8,10,7,9,11,7,6,8,9,9,4,3
E07000128,Wyre,12,9,19,14,7,15,6,10,9,9,6,14,13,11,7,8,7,9,12,11,9
E08000011,Knowsley ,21,10,8,12,20,12,15,7,13,26,8,11,18,7,8,10,12,11,13,12,11
E08000012,Liverpool,50,54,39,37,50,35,39,45,42,46,39,22,27,21,36,44,57,32,42,41,51
E08000014,Sefton,29,20,22,22,27,33,27,32,32,24,25,28,18,15,14,23,24,34,25,29,38
E08000013,St. Helens,32,15,19,17,29,29,25,19,19,23,20,9,16,17,16,11,15,10,13,13,13
E08000015,Wirral,32,39,22,26,24,33,29,38,21,24,29,15,17,31,40,42,30,34,39,37,44
E07000163,Craven,3,7,6,5,4,10,1,5,4,5,4,5,8,5,1,7,6,3,7,7,9
E07000164,Hambleton,5,14,9,11,9,7,7,10,6,9,11,6,8,10,3,7,6,5,8,12,13
E07000165,Harrogate,10,16,16,21,18,16,13,12,14,14,14,14,13,23,15,14,17,8,19,9,12
E07000166,Richmondshire,5,7,9,3,4,5,5,3,4,8,9,3,5,5,0,2,7,2,7,1,6
E07000167,Ryedale,5,6,5,3,8,3,7,5,6,4,3,6,2,0,5,11,5,3,4,4,2
E07000168,Scarborough,11,12,14,21,9,11,16,6,17,15,17,14,13,10,10,9,13,18,9,12,14
E07000169,Selby,6,7,10,6,4,2,13,6,4,3,6,6,4,8,5,4,5,6,5,6,4
E08000016,Barnsley,37,31,28,23,18,18,29,22,16,35,21,11,27,14,16,10,32,16,21,15,21
E08000017,Doncaster,45,36,41,35,33,29,22,29,30,24,23,29,23,27,25,26,27,27,31,23,24
E08000018,Rotherham ,27,26,36,26,35,26,46,22,28,24,16,6,12,24,29,21,26,18,25,24,20
E08000019,Sheffield,48,54,66,48,36,36,45,51,63,22,47,28,31,34,58,43,32,38,39,41,35
E08000032,Bradford ,50,42,40,41,42,32,44,46,58,52,44,45,28,46,41,41,54,43,33,34,44
E08000033,Calderdale,43,19,32,35,14,19,19,24,28,12,23,21,21,14,14,13,25,24,12,13,30
E08000034,Kirklees ,49,43,35,56,31,30,45,37,26,36,34,31,28,40,28,33,41,43,31,54,32
E08000035,Leeds ,88,83,110,80,71,74,91,55,62,86,67,51,64,62,67,57,51,72,64,62,53
E08000036,Wakefield,51,48,60,39,21,37,28,27,26,30,23,21,25,31,18,26,23,27,19,30,25
E07000032,Amber Valley,9,11,8,18,5,11,13,18,9,10,10,10,10,6,6,7,12,4,5,8,7
E07000033,Bolsover,8,10,6,5,6,3,9,10,5,6,7,3,6,3,8,2,6,2,12,8,3
E07000034,Chesterfield,13,14,13,9,6,9,16,21,3,5,7,10,5,5,11,7,3,14,9,10,14
E07000035,Derbyshire Dales,8,11,6,7,6,4,8,8,0,4,1,2,2,4,7,5,4,7,10,5,7
E07000036,Erewash,17,11,10,10,7,9,8,12,11,11,7,6,12,7,3,4,10,6,10,6,7
E07000037,High Peak,11,9,12,9,4,6,8,7,4,7,7,4,7,1,4,10,8,6,11,11,8
E07000038,North East Derbyshire,12,10,13,6,10,4,11,8,7,7,6,6,3,4,4,8,4,4,2,11,3
E07000039,South Derbyshire,2,11,9,9,5,9,10,3,7,6,5,10,6,9,6,3,7,8,9,5,8
E07000129,Blaby,11,5,11,10,7,12,4,5,19,6,10,1,9,8,5,6,4,6,3,8,4
E07000130,Charnwood,16,11,14,10,5,11,8,12,14,10,17,7,9,8,6,14,10,14,4,13,11
E07000131,Harborough,10,5,5,9,11,7,10,8,5,5,9,17,8,7,4,5,8,5,7,10,2
E07000132,Hinckley and Bosworth,2,7,10,8,3,9,4,10,9,4,2,3,4,3,7,12,4,5,9,5,9
E07000133,Melton,6,4,2,5,2,7,4,3,7,9,4,3,1,0,2,5,2,4,3,2,8
E07000134,North West Leicestershire,14,11,11,4,5,8,10,8,7,12,10,2,4,3,5,8,7,10,6,4,10
E07000135,Oadby and Wigston,3,4,2,8,2,8,6,7,4,4,2,6,9,2,1,4,1,4,4,6,1
E07000136,Boston,7,10,8,4,1,7,7,7,10,6,4,6,3,2,7,5,5,7,12,5,13
E07000137,East Lindsey,21,18,15,19,14,13,16,16,9,15,9,17,27,16,10,18,19,12,14,12,10
E07000138,Lincoln,13,17,12,20,7,12,13,11,11,14,8,12,14,13,12,11,10,9,13,11,12
E07000139,North Kesteven,13,11,11,6,9,7,9,8,10,12,16,7,13,10,8,13,6,6,6,9,13
E07000140,South Holland,12,7,12,8,13,7,7,8,8,8,7,2,9,5,7,5,7,7,9,8,9
E07000141,South Kesteven,9,13,9,15,11,6,11,10,4,16,7,8,12,8,12,13,14,7,9,11,7
