PCON11NM,Population
Aldershot,105168
Aldridge-Brownhills,77683
Altrincham and Sale West,102444
Amber Valley,92277
Arundel and South Downs,102673
Ashfield,107711
Ashford,125537
Ashton-under-Lyne,93835
Aylesbury,127560
Banbury,127518
Barking,142016
Barnsley Central,92754
Barnsley East,95768
Barrow and Furness,86341
Basildon and Billericay,97006
Basingstoke,115887
Bassetlaw,108846
Bath,99583
Batley and Spen,111805
Battersea,121054
Beaconsfield,102510
Beckenham,93150
Bedford,106941
Bermondsey and Old Southwark,150530
Berwick-upon-Tweed,76531
Bethnal Green and Bow,156185
Beverley and Holderness,100466
Bexhill and Battle,107752
Bexleyheath and Crayford,96003
Birkenhead,90704
"Birmingham, Edgbaston",106340
"Birmingham, Erdington",103788
"Birmingham, Hall Green",118904
"Birmingham, Hodge Hill",128694
"Birmingham, Ladywood",151748
"Birmingham, Northfield",102951
"Birmingham, Perry Barr",111398
"Birmingham, Selly Oak",110168
"Birmingham, Yardley",113048
Bishop Auckland,90323
Blackburn,110903
Blackley and Broughton,123825
Blackpool North and Cleveleys,82732
Blackpool South,79176
Blaydon,87491
Blyth Valley,85299
Bognor Regis and Littlehampton,108276
Bolsover,101224
Bolton North East,99536
Bolton South East,107662
Bolton West,96836
Bootle,100079
Boston and Skegness,109122
Bosworth,106792
Bournemouth East,106367
Bournemouth West,106222
Bracknell,113773
Bradford East,120645
Bradford South,106750
Bradford West,120841
Braintree,101548
Brent Central,148050
Brent North,135380
Brentford and Isleworth,136727
Brentwood and Ongar,97263
Bridgwater and West Somerset,114877
Brigg and Goole,88968
"Brighton, Kemptown",96999
"Brighton, Pavilion",114369
Bristol East,101208
Bristol North West,106009
Bristol South,113577
Bristol West,145072
Broadland,100638
Bromley and Chislehurst,96924
Bromsgrove,100569
Broxbourne,102877
Broxtowe,99416
Buckingham,109654
Burnley,89344
Burton,109783
Bury North,89814
Bury South,100894
Bury St Edmunds,119671
Calder Valley,104932
Camberwell and Peckham,131131
Camborne and Redruth,95458
Cambridge,115853
Cannock Chase,101484
Canterbury,121786
Carlisle,86768
Carshalton and Wallington,104173
Castle Point,90524
Central Devon,95224
Central Suffolk and North Ipswich,103169
